STD,,,,,,ERR0,STD0,ERR1,STD1,ERR2,STD2,ERR,ERR_STD,CIC,CIC_STD
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,13.16666667,0.763762616,24.16666667,4.010403139,28.83333333,4.368447474,22.05555556,1.456149158,8.888888889,0.693888666
,,STD,,,g=0.0001,15.83333333,1.527525232,20.5,0.866025404,30,1.5,22.11111111,0.346944333,6.277777778,1.750661251
,,ADV,,,,,,,,,,,,,
,,,CLSDIV,,,,,,,,,,,,
,,,,,eps=0.001,18.75,3.889087297,22.75,8.131727984,32.25,1.060660172,24.58333333,1.060660172,8.083333333,1.767766953
,,,NOCLSDIV,,,,,,,,,,,,
,,,,,eps=0.001,15.25,5.303300859,24.25,2.474873734,28,1.414213562,22.5,2.121320344,7.25,3.181980515
,,DIFF,,,,14.85714286,2.035400978,24.28571429,4.855041562,31.21428571,0.951189731,23.45238095,2.153193764,8.595238095,0.875897121
,,,,,,,,,,,,,,,
,IMB,,,,,,,,,,,,,,
,,NOAUG,,,,17.15,1.871570938,21,2.483277404,31.5,3.34995854,23.21666667,1.851009067,6.266666667,1.354462218
,,,,,,,,,,,,,,,
,,STD,,,g=0.0001,17,2.87711275,19.95,1.674149867,29.75,2.226731536,22.23333333,1.331480194,5.283333333,1.777864581
MIT,,,,,,,,,,,,,,,
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,14.21428571,2.098752464,23,2.549509757,31.42857143,5.28700113,22.88095238,2.260191498,8.666666667,2.097176232
,,STDAUG,,,g=0.0001,14.91666667,2.177536835,20.41666667,2.498332777,26.41666667,1.428869017,20.58333333,1.036822068,5.666666667,1.722401424
,,DIFF,,,,,,,,,,,,,
,,,STDAUG,,g=0.0001,18.7,2.774887385,18.5,1.541103501,27.5,1.224744871,21.56666667,1.484175791,3.966666667,0.749073502
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,15.625,1.600781059,18.625,2.75,20.29166667,4.643543905,20.29166667,1.892357926,4.791666667,1.7393858
,,,,,,,,,,,,,,,
,PARBS,,,,,,,,,,,,,,
,,NOAUG,,,,16.41666667,2.888194361,15.41666667,1.281275406,29.91666667,2.437553418,20.58333333,1.357080199,5.916666667,1.052774113
,,STDAUG,,,g=0.0001,16.8,0.570087713,17.7,1.717556404,28.9,3.879432948,21.13333333,1.569677957,4.733333333,0.902157907
,,DIFF,,,,,,,,,,,,,
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,16.375,3.30088372,20,3.31662479,26.875,1.796988221,21.08333333,1.589898669,4.708333333,2.907127257
