STD,,,,,,ERR0,STD0,ERR1,STD1,ERR2,STD2,ERR,ERR_STD,CIC,CIC_STD
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,27,0.5,13,0.5,40.5,3.464101615,26.83333333,1.040833,13.83333333,1.040833
,,STD,,,g=0.0001,29.5,1.5,10.5,0.5,34.33333333,1.258305739,24.77777778,1.258305739,14.27777778,0.096225045
,,ADV,,,,,,,,,,,,,
,,,CLSDIV,,,,,,,,,,,,
,,,,,ep=0.01,26.625,3.172144385,11.625,2.780137886,38.375,1.887458609,25.54166667,1.832701911,13.91666667,0.967049733
,,,NOCLSDIV,,,,,,,,,,,,
,,,,,ep=0.0001,23.25,6.717514421,15.25,1.060660172,39.25,0.353553391,25.91666667,2.710575995,10.66666667,1.649915823
,,DIFF,,,,,,,,,,,,,
,,,,,,28.125,2.75,12.5,1.870828693,35,1,25.20833333,1.220010625,12.70833333,1.173590565
,IMB,,,,,,,,,,,,,,
,,NOAUG,,,,25.75,3.02994316,13.6,1.663329993,38.1,2.913569784,25.81666667,1.184910269,12.21666667,1.071660763
,,STD,,,g=0.0001,24.5,2.405351177,12.5625,1.935338656,34.4375,2.993296081,23.83333333,1.918994446,11.27083333,1.327180745
MIT,,,,,,,,,,,,,,,
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,23.71428571,2.627691364,12.28571429,2.412763679,37.21428571,3.413907132,24.4047619,2.063476801,12.11904762,1.81484181
,,STDAUG,,,g=0.0001,25.66666667,3.995831161,14.16666667,2.089657069,36.83333333,1.570562532,25.55555556,1.463127042,11.38888889,1.851925924
,,DIFF,,,,,,,,,,,,,
,,,STDAUG,,,25.125,4.9560569,10.875,2.096624271,35.75,2.901149198,23.91666667,2.270992604,13.04166667,2.114215554
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,27.125,4.269562819,13.5,2.198484326,36.75,4.193248542,25.79166667,2.087773047,12.29166667,4.037727175
,,,,,,,,,,,,,,,
,PARBS,,,,,,,,,,,,,,
,,NOAUG,,,,24.75,1.753567792,15.08333333,2.01038968,36,2.93257566,25.27777778,1.455513146,10.19444444,0.974204329
,,STDAUG,,,g=0.0001,21.5,2.692582404,13.7,0.836660027,35.4,4.5607017,23.53333333,2.416379293,9.833333333,2.024159634
,,DIFF,,,,,,,,,,,,,
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,25,1.779513042,13.625,1.547847968,32.75,6.982120022,23.79166667,2.503238643,10.16666667,2.317405957
