DATASET,CULTURE,PERCENT,MODEL,ERR_0,STD_ERR_0,ERR_1,STD_ERR_1,ERR_2,STD_ERR_2,ERR,STD_ERR,WERR,STD_WERR,CIC,STD_CIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INDIAN,,,,,,,,,,,,,,,,C_0,,ERR_0_i,ERR_0,STD_0,C_1,,ERR_1_i,ERR_1,STD_1,C2,,ERR_2_i,ERR_2,STD_2,,ERR_i,ERR,ERR_STD,,MIN_i,MIN,MIN_STD,,CIC_i,CIC,STD_CIC
,,0.05,,,,,,,,,,,,,,,12,9,10.5,10.5,#DIV/0!,10,14,12,12,#DIV/0!,21,22,21.5,21.5,#DIV/0!,,14.6666666666667,14.6666666666667,#DIV/0!,,10.5,10.5,#DIV/0!,,4.16666666666667,4.16666666666667,#DIV/0!
,,,NOAUG IMB,15.0757575757576,3.64674772083208,18.3636363636364,2.57473520262499,29.9090909090909,3.68581432966004,21.1161616161616,2.12764739031363,,,6.7979797979798,1.64134809501933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,16.3333333333333,3.52668399491647,15,3.25960120260132,25.6111111111111,3.3426951866886,18.9814814814815,1.47064905466101,,,4.92592592592593,2.73113619914343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,18,1.80277563773199,18.8333333333333,1.75594229214212,31.3333333333333,3.78593889720018,22.7222222222222,0.976577546180386,,,4.72222222222222,1.66944213347964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JAPANESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG IMB,22.515625,2.41091269024824,13.390625,1.40929454377398,33.828125,3.20938486468629,23.3333333333333,0.5,,,11.5,0.288675134594813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,22.4166666666667,2.90545464027003,12.6666666666667,2.90975371237269,29.5,4.30116263352131,21.5277777777778,0.996753990971955,,,8.86111111111111,2.89907392620982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,25,4.09267638593623,11.6666666666667,2.46644143115812,36.5,6.557438524302,24.3888888888889,2.83496684937179,,,12.7222222222222,5.0726207705171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCANDINAVIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG IMB,20.8064516129032,3.35513702319957,18.0322580645161,3.40036762718386,22.5483870967742,2.671936996231,20.6296296296296,1.75352378912074,,,3.3494623655914,1.97922302315537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,21.1666666666667,3.80350715349224,16,2.86356421265527,17.8333333333333,2.69567554922076,18.3333333333333,2.42899156029822,,,3.16666666666667,1.08012344973464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,25.6666666666667,2.3629078131263,18.3333333333333,5.29937103186155,24.5,3.77491721763537,22.8333333333333,2.66666666666667,,,4.5,2.68224615657185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHINESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG IMB,10.3461538461538,3.04936241058866,16.0769230769231,3.05277651400237,23.6923076923077,4.16602559170839,16.5740740740741,1.89317324570986,,,5.08333333333333,2.36819199672099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,10.5,#DIV/0!,12,#DIV/0!,21.5,#DIV/0!,14.6666666666667,#DIV/0!,,,4.16666666666667,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRENCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
