STD,,,,,,ERR0,STD0,ERR1,STD1,ERR2,STD2,ERR,ERR_STD,CIC,CIC_STD
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,23.66666667,2.081665999,14.83333333,2.466441431,30.66666667,5.773502692,23.05555556,1.931704295,8.222222222,3.834540873
,,STD,,,g=0.0001,17,1.5,12.83333333,3.013856887,29.5,3.968626967,19.77777778,2.083888815,6.944444444,2.523959265
,,ADV,,,,,,,,,,,,,
,,,CLSDIV,,,,,,,,,,,,
,,,,tau=10%,ep=0.1,22.375,3.520771696,13.625,2.46221445,31.75,1.5,22.58333333,1.838376901,8.958333333,2.0744254
,,,NOCLSDIV,,,,,,,,,,,,
,,,,tau=10%,ep=0.1,22.5,1.683250823,13.25,2.101586702,35.375,2.657536453,23.70833333,0.43832594,10.45833333,1.862768748
,,DIFF,,,,20.625,3.816084381,9.25,0.866025404,28.875,2.839454173,19.58333333,0.866025404,10.33333333,0
,IMB,,,,,,,,,,,,,,
,,NOAUG,,,,22.15,1.856669659,15,1.986062548,30.5,2.867441756,22.55,1.045419167,7.55,2.301435408
,,STD,,,g=0.0001,19,2.236067977,11.1875,2.23506951,26.6875,3.093050967,18.95833333,0.795573069,7.770833333,2.393671385
MIT,,,,,,,,,,,,,,,
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,23.21428571,2.643500565,11.07142857,1.33630621,35.64285714,4.543441113,23.30952381,1.525792361,12.23809524,2.088010623
,,STDAUG,,,g=0.0001,17.83333333,3.125166662,8.583333333,1.241638702,28.58333333,3.679900361,18.33333333,1.776388346,9.75,1.063275861
,,DIFF,,,,,,,,,,,,,
,,,STDAUG,,,18.75,1.755942292,10.5,2.273030283,27.125,1.931105038,18.79166667,1.125257172,8.291666667,1.197025635
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,17.375,2.75,10.375,3.449033681,28.625,3.010398645,18.79166667,2.572558173,8.416666667,1.658312395
,,,,,,,,,,,,,,,
,PARBS,,,,,,,,,,,,,,
,,NOAUG,,,,19.58333333,2.354074482,13.91666667,2.538043866,23,5.196152423,18.83333333,1.87379591,4.916666667,2.133723923
,,STDAUG,,,g=0.0001,21.1,3.830796262,11.9,3.731621631,24.4,3.209361307,19.13333333,1.823458253,7.233333333,3.189827582
,,DIFF,,,,,,,,,,,,,
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,17.5,4.272001873,12.33333333,1.258305739,25.66666667,5.751811309,18.5,3.370624736,6.166666667,2.315407332
