STD,,,,,,ERR0,STD0,ERR1,STD1,ERR2,STD2,ERR,ERR_STD,CIC,CIC_STD
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,14.5,2.179449472,21.83333333,3.329164059,31.83333333,5.251983752,22.72222222,1.843406669,8.222222222,1.071516751
,,STD,,,g=0.0001,12.33333333,3.511884584,17.16666667,4.856267428,24.66666667,3.175426481,18.05555556,3.12842405,5.722222222,1.417483425
,,ADV,,,,,,,,,,,,,
,,,CLSDIV,,,,,,,,,,,,
,,,,tau=10%,eps=0.1,12.375,2.75,17.625,4.13067791,32.125,8.003905297,20.70833333,4.577268715,2.777777778,0.936238864
,,,NOCLSDIV,,,,,,,,,,,,
,,,,tau=10%,eps=0.1,14.375,5.662375826,17.875,4.110454152,28.5,3.488074923,20.25,3.476108936,2.291666667,0.361111111
,,DIFF,,,,12.125,1.931105038,17.125,3.859512059,24.25,4.173328009,17.83333333,2.260776661,5.833333333,2.697735676
,IMB,,,,,,,,,,,,,,
,,NOAUG,,,,14.45,2.431848862,17.85,2.333928496,31.6,3.747591819,21.3,1.407212462,6.95,1.884062461
,,STD,,,g=0.0001,11.5,2,16.375,1.685018016,29.0625,2.290313453,18.97916667,0.566509082,7.541666667,1.831709237
MIT,,,,,,,,,,,,,,,
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,12.35714286,1.519711752,16.42857143,1.33630621,32.78571429,2.497617913,20.52380952,1.534868107,8.166666667,0.981306763
,,STDAUG,,,g=0.0001,9.916666667,2.354074482,14.08333333,2.107526196,25.75,4.579847159,16.58333333,1.401388201,6.75,2.73810559
,,DIFF,,,,,,,,,,,,,
,,,STDAUG,,,10.45,2.443244655,16.05,2.408895551,27.05,4.051405792,17.85,1.821425978,7.4,2.443434135
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,8.625,1.701714821,15.875,4.571196051,26.75,1.554563176,17.08333333,2.038972145,8.458333333,2.302876623
,,,,,,,,,,,,,,,
,PARBS,,,,,,,,,,,,,,
,,NOAUG,,,,14.33333333,2.160246899,16.16666667,2.695675549,23.91666667,4.487946821,18.13888889,1.84817227,4.222222222,1.611302671
,,STDAUG,,,g=0.0001,10.5,2.263846285,15.5,3.020761493,17.9,2.859195691,14.63333333,1.309155792,4.133333333,2.381642757
,,DIFF,,,,,,,,,,,,,
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,11.5,3.278719262,13.83333333,1.443375673,24.66666667,2.929732639,16.66666667,1.589898669,5.166666667,1.96497102
