STD,,,,,,ERR0,STD0,ERR1,STD1,ERR2,STD2,ERR,ERR_STD,CIC,CIC_STD
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,36,4.092676386,37.33333333,2.081665999,13.83333333,2.020725942,29.05555556,1.493814407,15.22222222,0.535758376
,,STD,,,g=0.0001,28.5,4.582575695,29.5,3.5,10.16666667,1.443375673,22.72222222,2.34125639,12.55555556,1.417483425
,,ADV,,,,,,,,,,,,,
,,,CLSDIV,,,,,,,,,,,,
,,,,tau=10%,eps=0.003,27,6.363961031,23,6.363961031,11,2.121320344,20.33333333,4.949747468,9.333333333,2.828427125
,,,NOCLSDIV,,,,,,,,,,,,
,,,,tau=10%,eps=10^-6,34.5,0.707106781,31.25,1.060660172,11,2.121320344,25.58333333,0.824957911,14.58333333,1.296362432
,,DIFF,,,,27.75,3.523729085,28.25,2.723355773,11.5,2.708012802,22.5,2.918650119,11,0.7200823
,IMB,,,,,,,,,,,,,,
,,NOAUG,,,,31.8,3.449637662,30.25,3.285067224,12.25,1.767766953,24.76666667,1.489054717,12.51666667,1.802690034
,,STD,,,g=0.0001,29.5625,4.836154759,26,4.57477556,11.1875,2.250991845,22.25,2.870208222,11.0625,3.189687625
MIT,,,,,,,,,,,,,,,
,BAL,,,,,,,,,,,,,,
,,NOAUG,,,,36.64285714,4.913538149,32.5,4.94132236,11,1.914854216,26.71428571,3.047029953,15.71428571,3.520724733
,,STDAUG,,,g=0.0001,27.25,4.612483062,27.83333333,2.994439291,10.41666667,2.853360592,21.83333333,2.34520788,11.41666667,3.215846182
,,DIFF,,,,,,,,,,,,,
,,,STDAUG,,g=0.1,25.66666667,2.929732639,27.33333333,5.346338311,10.66666667,0.577350269,21.22222222,1.170628195,10.55555556,1.677740986
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,31.875,2.286737122,27.5,3.559026084,8.125,2.05649378,22.5,1.340259787,14.375,2.532657073
,,,,,,,,,,,,,,,
,PARBS,,,,,,,,,,,,,,
,,NOAUG,,,,23.83333333,3.696845502,22,3.033150178,8.583333333,1.985363107,18.13888889,2.295930377,9.555555556,1.925462907
,,STDAUG,,,g=0.0001,18.66666667,5.965176723,19.33333333,3.685557398,10.5,0.5,16.16666667,3.370624736,5.666666667,2.905932629
,,DIFF,,,,,,,,,,,,,
,,,ONLYMIN,,,,,,,,,,,,
,,,,STDAUG,,21.5,4.5,22.66666667,3.818813079,10.66666667,0.288675135,18.27777778,2.358985972,7.611111111,2.070516128
