DATASET,CULTURE,PERCENT,MODEL,ERR_0,STD_ERR_0,ERR_1,STD_ERR_1,ERR_2,STD_ERR_2,ERR,STD_ERR,WERR,STD_WERR,CIC,STD_CIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INDIAN,,,,,,,,,,,,,,,,C_0,,ERR_0_i,ERR_0,STD_0,C_1,,ERR_1_i,ERR_1,STD_1,C2,,ERR_2_i,ERR_2,STD_2,,ERR_i,ERR,ERR_STD,,MIN_i,MIN,MIN_STD,,CIC_i,CIC,STD_CIC
,,0.05,,,,,,,,,,,,,,,49,2,25.5,22,4.94974746830583,37,8,20.25,19.125,1.59099025766973,45,13,29,25.25,5.30330085889911,,24.9166666666667,22.125,3.94801286162489,,20.25,19.125,1.59099025766973,,4.66666666666667,3,2.35702260395516
,,,NOAUG IMB,15.0757575757576,3.64674772083208,18.3636363636364,2.57473520262499,29.9090909090909,3.68581432966004,21.1161616161616,2.12764739031363,,,6.7979797979798,1.64134809501933,,36,1,18.5,,,27,9,18,,,35,8,21.5,,,,19.3333333333333,,,,18,,,,1.33333333333333,,
,,,NOAUG BAL,15.34375,3.89265690470889,20.46875,3.30508866917532,28.546875,3.16953120039905,20.7962962962963,1.89256178854398,,,6.20707070707071,2.08958657486883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,16.3333333333333,3.52668399491647,15,3.25960120260132,25.6111111111111,3.3426951866886,18.9814814814815,1.47064905466101,,,4.92592592592593,2.73113619914343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB g=0.0001,16.3333333333333,3.52668399491647,15,3.25960120260132,25.6111111111111,3.3426951866886,18.9814814814815,1.47064905466101,,,4.92592592592593,2.73113619914343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,16.0833333333333,2.08366664000427,16.3333333333333,1.53839743456191,26,3.92428337406972,19.4722222222222,1.78081338053607,,,4.05555555555556,1.54440447590169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL g=0.0001,14.4444444444444,2.57929792342369,18.8888888888889,3.68932393686311,28.2777777777778,3.94581353391724,20.537037037037,1.34054761244596,,,6.64814814814815,2.23675801546638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,23,1.4142135623731,14.75,2.47487373415292,32.25,6.7175144212722,23.3333333333333,2.59272486435067,,,8.58333333333333,0.117851130197758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,22.25,3.88908729652601,16.375,0.530330085889911,33.25,3.88908729652601,23.9583333333333,0.176776695296637,,,7.58333333333333,0.353553390593274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,21.125,1.65201896679992,23.40625,2.65238689674037,37.875,3.9660013447636,27.46875,1.99170008107721,,,7.21875,1.05484716726941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,22.5,2.04124145231932,26.1354166666667,1.09151557478581,39,2.54950975679639,29.2118055555556,0.959665941427434,,,6.71180555555556,1.89410279177305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,18,1.80277563773199,18.8333333333333,1.75594229214212,31.3333333333333,3.78593889720018,22.7222222222222,0.976577546180386,,,4.72222222222222,1.66944213347964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,14.5,#DIV/0!,12,#DIV/0!,24,#DIV/0!,16.8333333333333,#DIV/0!,,,4.83333333333333,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JAPANESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG IMB,22.515625,2.41091269024824,13.390625,1.40929454377398,33.828125,3.20938486468629,23.3333333333333,0.5,,,11.5,0.288675134594813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,25.0625,3.26704929731878,11.484375,1.45773797371133,35.71875,3.4686092313779,23.8148148148148,2.00942992960076,,,12.6041666666667,1.9536520346268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,22.4166666666667,2.90545464027003,12.6666666666667,2.90975371237269,29.5,4.30116263352131,21.5277777777778,0.996753990971955,,,8.86111111111111,2.89907392620982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB g=0.0001,23.8888888888889,2.57120810342359,11.7222222222222,2.58736244937667,31.7222222222222,4.04746148152696,22.4444444444444,1.88377575924289,,,10.7222222222222,2.50138850330061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,24.1666666666667,3.78318648760539,13.5,1.83711730708738,30.7777777777778,4.63755802599218,22.8148148148148,1.80363145341644,,,9.31481481481482,2.53783104633722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL g=0.0001,24.1666666666667,3.78318648760539,13.5,1.83711730708738,30.7777777777778,4.63755802599218,22.8148148148148,1.80363145341644,,,9.31481481481482,2.53783104633722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,30.1428571428571,4.793348566106,17.7797619047619,2.47752796982594,38,7.92148975887743,28.640873015873,3.79215358231798,,,10.8611111111111,4.03332950719133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,24.625,2.80995255001456,16.1458333333333,2.11517335774951,37.5,3.36650164612069,26.0902777777778,2.2128709495825,,,9.94444444444444,1.71233722304694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,23.2857142857143,2.89909673946247,13.8571428571429,1.92086754953514,39.9285714285714,3.81257318430929,25.6904761904762,1.4782092251192,,,11.8333333333333,1.93708926351235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,24.7142857142857,2.6903708365382,13.8095238095238,1.97435191295536,36.8571428571429,6.74360367134594,25.1269841269841,2.01365625366807,,,11.3174603174603,1.58145251698939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,25,4.09267638593623,11.6666666666667,2.46644143115812,36.5,6.557438524302,24.3888888888889,2.83496684937179,,,12.7222222222222,5.0726207705171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,23.4285714285714,1.94569121026803,14.9285714285714,2.54015372613174,34.5,4.64578662158878,24.2857142857143,1.15756083639137,,,9.35714285714286,2.88101797118042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SCANDINAVIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG IMB,20.8064516129032,3.35513702319957,18.0322580645161,3.40036762718386,22.5483870967742,2.671936996231,20.6296296296296,1.75352378912074,,,3.3494623655914,1.97922302315537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG BAL,23.4838709677419,3.07656915699579,19.3387096774194,2.12132034355964,21.7258064516129,2.65467734912493,21.8703703703704,1.21842845552563,,,2.90322580645161,1.78873749888138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB,21.1666666666667,3.80350715349224,16,2.86356421265527,17.8333333333333,2.69567554922076,18.3333333333333,2.42899156029822,,,3.16666666666667,1.08012344973464,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD IMB g=0.0001,21.7222222222222,2.39936334148133,16.5,3.69966214673719,20.0555555555556,2.12785755580062,19.4259259259259,1.5163715626618,,,3.37037037037037,1.95394504389655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL,23.2857142857143,3.71771819419232,18.6428571428571,1.65111794738912,17.8571428571429,4.09994192757944,19.9285714285714,2.53285292019571,,,3.5,0.967049732529401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STD BAL g=0.0001,23.8888888888889,3.85501116874013,18.2222222222222,4.43079501268615,19.1111111111111,3.17979733805649,20.4074074074074,2.42256623449057,,,3.96296296296296,1.75945418023479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV IMB,28.3571428571429,7.76055349032467,24.1547619047619,1.58802562851655,41.5,7.86871442274192,31.3373015873016,5.06159154759736,,,8.61111111111111,3.29667340747541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV IMB,25.0714285714286,5.25538272812244,21.5297619047619,2.71747541277702,40.0714285714286,6.43835234764151,28.890873015873,3.53831930204796,,,8.46825396825397,2.55678455610048,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV CLSDIV BAL,23.1428571428571,3.17167523708273,19.6190476190476,2.40952351543382,34,3.24037034920393,25.5873015873016,2.62112336573705,,,5.96825396825397,1.05925625300199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV NoCLSDIV BAL,25.1428571428571,3.03746448146978,23.6547619047619,1.24692081061169,34.6428571428571,4.67006678855065,27.8134920634921,2.36720152872572,,,4.53373015873016,1.7422273217248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION IMB,25.6666666666667,2.3629078131263,18.3333333333333,5.29937103186155,24.5,3.77491721763537,22.8333333333333,2.66666666666667,,,4.5,2.68224615657185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DIFFUSION BAL,22.0833333333333,2.70955100831608,17.0833333333333,2.51826659960114,18.25,2.82400424928859,19.1388888888889,1.41192015302513,,,3.22222222222222,1.9682667690316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT NOAUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT STD_AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY MIN PAR_BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF ONLY_MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MIT DIFF  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOAUG ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ADV ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
