"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14846216>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25308707>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9582734>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15524653>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22837384>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2974981>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08199774>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14641757>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.326198>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08954723>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.147365>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.527093>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14838172>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23015343>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.122236>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08611775>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15868506>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.5045488>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.088429816>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14757292>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.3992984>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14499849>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23164636>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9537136>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08420768>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14817528>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.0037928>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14814687>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24354525>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.94437367>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.143567>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22358945>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.07585>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1424932>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.22349717>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.9989563>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15683228>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23159128>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.0724854>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.087739125>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14754295>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=3.4501498>}]"
