"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14448003>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2505571>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.36763948>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15238407>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23280244>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.36140966>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1478186>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.2401281>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.29691076>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.10020767>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15053855>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7335622>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.091938674>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16755068>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.4462838>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14673471>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23662226>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.42884952>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14743072>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24324653>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.2947322>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09492641>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15859549>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.299286>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09707868>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15161954>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.1261121>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14576277>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.23857836>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.27131844>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09472788>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.1593712>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=2.7276785>}]"
