n_loss,i_loss,kid
0.08368339,0.14632364,1.8075643
0.08620161,0.1484009,1.8221515
0.1512068,0.22982122,0.55248004
0.13953696,0.23167373,0.82258815
0.14251472,0.23690931,0.5699468
0.14281288,0.23539692,0.605559
0.08616386,0.15123732,2.5219562
0.08658008,0.14459667,1.8071963
0.14659138,0.24932626,0.7906106
0.14634167,0.23683639,0.4539779
0.14386788,0.22913447,0.5949411
0.14584488,0.23761095,0.60096234
0.08941259,0.16462407,3.5781765
0.091417834,0.15066592,2.2327807
0.08270952,0.15843265,1.6833968
0.14312097,0.25225237,0.4384687
0.14549462,0.23112252,0.7678158
