"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08495801>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14713478>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.3984315>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08827304>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14544657>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.5042051>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15531509>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24201985>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7487109>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16043584>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25916246>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.5226263>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15923914>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25796944>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7714747>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.08846512>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14416696>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.7426678>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.082669>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.13634883>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2105886>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15261303>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.25360122>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.776985>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.15314358>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.24825388>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.73148155>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.16248898>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.26533133>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=0.7676912>}]"
"['kid', {'n_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.09155335>, 'i_loss': <tf.Tensor: shape=(), dtype=float32, numpy=0.14689814>, 'kid': <tf.Tensor: shape=(), dtype=float32, numpy=1.2168871>}]"
