n_loss,i_loss,kid
0.08044367,0.13689287,2.079741
0.08898812,0.1437269,2.7970166
0.08645325,0.15853268,2.3052058
0.08239317,0.13129757,1.9783684
0.15704131,0.24727222,0.9646088
0.14662142,0.24173284,0.9034552
0.15775514,0.25253886,1.1328855
0.15443091,0.24073686,0.794826
0.08211145,0.1494536,2.55919
0.079007864,0.13601258,1.9817424
0.16209799,0.25389716,0.942787
0.15551841,0.2490333,1.039673
0.1606851,0.25628057,1.0529269
0.14452417,0.24841143,0.88801646
0.16554621,0.26993108,1.0988966
0.14744936,0.24107781,0.94325393
0.084454425,0.15077528,2.5942516
0.084304474,0.14950489,2.9899924
0.1575222,0.2329142,1.0567265
0.1655403,0.2546794,0.8727878
0.07948298,0.13193858,2.2759118
