,Matrix,Class 0,Class 1,Class 2
Class 0,CM,59,134,7
Class 1,CM,1,196,3
Class 2,CM,4,96,100

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,23,165,12
Class 1,CM,0,198,2
Class 2,CM,2,102,96

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,38,121,41
Class 1,CM,0,187,13
Class 2,CM,4,39,157

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,10,120,70
Class 1,CM,0,179,21
Class 2,CM,0,18,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,200,0
Class 1,CM,0,200,0
Class 2,CM,0,200,0

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,200,0
Class 1,CM,0,200,0
Class 2,CM,0,197,3

