,Matrix,Class 0,Class 1,Class 2
Class 0,CM,26,14,160
Class 1,CM,0,92,108
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,35,7,158
Class 1,CM,0,102,98
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,30,8,162
Class 1,CM,0,93,107
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,37,4,159
Class 1,CM,2,82,116
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,12,10,178
Class 1,CM,0,48,152
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,4,7,189
Class 1,CM,0,6,194
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,10,8,182
Class 1,CM,0,59,141
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,19,4,177
Class 1,CM,3,13,184
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,24,8,168
Class 1,CM,1,87,112
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,21,10,169
Class 1,CM,3,60,137
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,34,10,156
Class 1,CM,1,78,121
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,29,8,163
Class 1,CM,0,85,115
Class 2,CM,0,0,200

