,Matrix,Class 0,Class 1,Class 2
Class 0,CM,190,7,3
Class 1,CM,77,122,1
Class 2,CM,10,2,188

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,187,12,1
Class 1,CM,72,126,2
Class 2,CM,16,3,181

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,193,7,0
Class 1,CM,109,87,4
Class 2,CM,24,0,176

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,174,25,1
Class 1,CM,25,174,1
Class 2,CM,14,5,181

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,145,55,0
Class 1,CM,33,163,4
Class 2,CM,12,3,185

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,179,21,0
Class 1,CM,73,127,0
Class 2,CM,25,1,174

