,Matrix,Class 0,Class 1,Class 2
Class 0,CM,48,152,0
Class 1,CM,0,199,1
Class 2,CM,3,2,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,43,148,9
Class 1,CM,0,199,1
Class 2,CM,0,10,190

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,56,144,0
Class 1,CM,0,200,0
Class 2,CM,1,10,189

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,19,177,4
Class 1,CM,0,199,1
Class 2,CM,2,8,190

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,71,125,4
Class 1,CM,2,198,0
Class 2,CM,2,6,192

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,37,163,0
Class 1,CM,1,199,0
Class 2,CM,2,24,174

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,39,161,0
Class 1,CM,0,200,0
Class 2,CM,4,14,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,63,133,4
Class 1,CM,0,199,1
Class 2,CM,3,4,193

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,29,170,1
Class 1,CM,0,200,0
Class 2,CM,0,18,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,26,170,4
Class 1,CM,0,197,3
Class 2,CM,0,15,185

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,66,124,10
Class 1,CM,0,198,2
Class 2,CM,4,4,192

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,89,104,7
Class 1,CM,0,195,5
Class 2,CM,1,5,194

