,Matrix,Class 0,Class 1,Class 2
Class 0,CM,125,29,46
Class 1,CM,18,129,53
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,123,51,26
Class 1,CM,11,163,26
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,131,39,30
Class 1,CM,15,164,21
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,112,48,40
Class 1,CM,17,170,13
Class 2,CM,2,1,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,139,44,17
Class 1,CM,26,156,18
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,112,14,74
Class 1,CM,19,73,108
Class 2,CM,1,0,199

