,Matrix,Class 0,Class 1,Class 2
Class 0,CM,2,6,192
Class 1,CM,0,2,198
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,24,176
Class 1,CM,0,7,193
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,11,5,184
Class 1,CM,0,9,191
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,16,94,90
Class 1,CM,1,134,65
Class 2,CM,1,12,187

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,6,194
Class 1,CM,0,17,183
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,28,52,120
Class 1,CM,2,108,90
Class 2,CM,1,8,191

