,Matrix,Class 0,Class 1,Class 2
Class 0,CM,4,41,155
Class 1,CM,0,69,131
Class 2,CM,0,3,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,0,200
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,23,74,103
Class 1,CM,1,136,63
Class 2,CM,1,5,194

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,9,191
Class 1,CM,0,11,189
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,0,200
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,31,169
Class 1,CM,0,83,117
Class 2,CM,0,5,195

