,Matrix,Class 0,Class 1,Class 2
Class 0,CM,38,136,26
Class 1,CM,2,188,10
Class 2,CM,2,0,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,70,88,42
Class 1,CM,1,169,30
Class 2,CM,5,1,194

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,89,100,11
Class 1,CM,14,176,10
Class 2,CM,5,4,191

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,143,55,2
Class 1,CM,13,182,5
Class 2,CM,3,2,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,48,149,3
Class 1,CM,0,198,2
Class 2,CM,1,4,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,111,76,13
Class 1,CM,8,181,11
Class 2,CM,4,1,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,83,103,14
Class 1,CM,4,188,8
Class 2,CM,5,0,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,117,50,33
Class 1,CM,13,120,67
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,160,39,1
Class 1,CM,23,174,3
Class 2,CM,7,2,191

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,115,64,21
Class 1,CM,8,170,22
Class 2,CM,1,2,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,96,63,41
Class 1,CM,11,164,25
Class 2,CM,3,0,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,91,70,39
Class 1,CM,5,164,31
Class 2,CM,3,0,197

