,Matrix,Class 0,Class 1,Class 2
Class 0,CM,64,136,0
Class 1,CM,0,200,0
Class 2,CM,3,4,193

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,39,119,42
Class 1,CM,2,184,14
Class 2,CM,0,2,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,28,115,57
Class 1,CM,0,172,28
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,10,109,81
Class 1,CM,0,164,36
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,104,96
Class 1,CM,0,116,84
Class 2,CM,0,3,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,5,151,44
Class 1,CM,0,197,3
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,61,136,3
Class 1,CM,0,200,0
Class 2,CM,1,6,193

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,29,108,63
Class 1,CM,0,184,16
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,7,186,7
Class 1,CM,0,196,4
Class 2,CM,3,4,193

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,95,105
Class 1,CM,0,59,141
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,33,148,19
Class 1,CM,0,196,4
Class 2,CM,0,2,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,70,127,3
Class 1,CM,0,200,0
Class 2,CM,3,8,189

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,16,181,3
Class 1,CM,0,198,2
Class 2,CM,2,5,193

