,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,199,0,1
Class 2,CM,28,0,172

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,172,27,1
Class 2,CM,34,2,164

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,189,9,2
Class 2,CM,20,0,180

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,144,54,2
Class 2,CM,32,0,168

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,179,21,0
Class 1,CM,57,139,4
Class 2,CM,9,1,190

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,78,113,9
Class 1,CM,9,183,8
Class 2,CM,5,0,195

