,Matrix,Class 0,Class 1,Class 2
Class 0,CM,9,22,169
Class 1,CM,0,54,146
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,22,7,171
Class 1,CM,0,22,178
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,5,9,186
Class 1,CM,0,18,182
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,1,199
Class 1,CM,0,0,200
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,37,19,144
Class 1,CM,4,111,85
Class 2,CM,2,1,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,34,15,151
Class 1,CM,0,71,129
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,32,12,156
Class 1,CM,0,94,106
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,26,9,165
Class 1,CM,1,14,185
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,58,12,130
Class 1,CM,1,107,92
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,41,10,149
Class 1,CM,4,87,109
Class 2,CM,0,0,200

