,Matrix,Class 0,Class 1,Class 2
Class 0,CM,86,113,1
Class 1,CM,0,200,0
Class 2,CM,5,6,189

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,60,139,1
Class 1,CM,0,200,0
Class 2,CM,9,7,184

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,84,115,1
Class 1,CM,1,199,0
Class 2,CM,6,12,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,72,128,0
Class 1,CM,1,199,0
Class 2,CM,4,4,192

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,76,124,0
Class 1,CM,0,200,0
Class 2,CM,6,15,179

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,55,143,2
Class 1,CM,0,199,1
Class 2,CM,5,20,175

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,98,100,2
Class 1,CM,0,200,0
Class 2,CM,1,14,185

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,63,137,0
Class 1,CM,1,199,0
Class 2,CM,1,32,167

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,80,119,1
Class 1,CM,0,200,0
Class 2,CM,2,6,192

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,71,129,0
Class 1,CM,0,200,0
Class 2,CM,2,7,191

