,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,130,67,3
Class 2,CM,180,0,20

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,0,2
Class 1,CM,117,76,7
Class 2,CM,148,0,52

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,0,1
Class 1,CM,120,76,4
Class 2,CM,134,1,65

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,119,79,2
Class 2,CM,161,0,39

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,0,2
Class 1,CM,140,54,6
Class 2,CM,145,1,54

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,1,1
Class 1,CM,125,71,4
Class 2,CM,151,0,49

