,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,1,3
Class 1,CM,73,123,4
Class 2,CM,99,8,93

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,73,122,5
Class 2,CM,133,5,62

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,86,107,7
Class 2,CM,120,4,76

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,197,2,1
Class 1,CM,69,121,10
Class 2,CM,96,5,99

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,2,2
Class 1,CM,59,137,4
Class 2,CM,87,10,103

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,104,94,2
Class 2,CM,136,3,61

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,1,1
Class 1,CM,81,116,3
Class 2,CM,108,2,90

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,0,1
Class 1,CM,79,115,6
Class 2,CM,101,0,99

