,Matrix,Class 0,Class 1,Class 2
Class 0,CM,85,5,110
Class 1,CM,9,126,65
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,103,10,87
Class 1,CM,12,129,59
Class 2,CM,0,2,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,90,8,102
Class 1,CM,4,144,52
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,73,6,121
Class 1,CM,5,131,64
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,98,14,88
Class 1,CM,7,126,67
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,82,4,114
Class 1,CM,9,123,68
Class 2,CM,0,0,200

