,Matrix,Class 0,Class 1,Class 2
Class 0,CM,59,4,137
Class 1,CM,5,76,119
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,53,3,144
Class 1,CM,3,112,85
Class 2,CM,0,2,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,57,8,135
Class 1,CM,5,114,81
Class 2,CM,2,0,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,53,4,143
Class 1,CM,3,84,113
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,47,5,148
Class 1,CM,0,88,112
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,42,2,156
Class 1,CM,4,97,99
Class 2,CM,0,1,199

