,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,147,50,3
Class 2,CM,12,0,188

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,195,4,1
Class 1,CM,129,71,0
Class 2,CM,18,1,181

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,144,53,3
Class 2,CM,26,0,174

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,149,49,2
Class 2,CM,16,6,178

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,195,5,0
Class 1,CM,122,77,1
Class 2,CM,17,1,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,4,0
Class 1,CM,131,69,0
Class 2,CM,27,1,172

