,Matrix,Class 0,Class 1,Class 2
Class 0,CM,76,118,6
Class 1,CM,2,198,0
Class 2,CM,2,16,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,58,139,3
Class 1,CM,1,199,0
Class 2,CM,2,50,148

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,50,137,13
Class 1,CM,0,199,1
Class 2,CM,1,26,173

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,47,145,8
Class 1,CM,0,200,0
Class 2,CM,3,25,172

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,54,142,4
Class 1,CM,1,199,0
Class 2,CM,3,23,174

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,72,125,3
Class 1,CM,0,199,1
Class 2,CM,5,21,174

