,Matrix,Class 0,Class 1,Class 2
Class 0,CM,77,120,3
Class 1,CM,0,200,0
Class 2,CM,0,10,190

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,78,119,3
Class 1,CM,1,198,1
Class 2,CM,3,22,175

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,79,113,8
Class 1,CM,0,198,2
Class 2,CM,0,8,192

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,69,128,3
Class 1,CM,0,198,2
Class 2,CM,0,12,188

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,82,113,5
Class 1,CM,1,199,0
Class 2,CM,3,10,187

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,54,140,6
Class 1,CM,1,199,0
Class 2,CM,0,23,177

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,88,109,3
Class 1,CM,3,197,0
Class 2,CM,3,10,187

