,Matrix,Class 0,Class 1,Class 2
Class 0,CM,105,53,42
Class 1,CM,31,141,28
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,119,35,46
Class 1,CM,40,135,25
Class 2,CM,2,0,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,110,51,39
Class 1,CM,35,147,18
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,155,27,18
Class 1,CM,42,153,5
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,103,58,39
Class 1,CM,20,146,34
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,107,59,34
Class 1,CM,21,162,17
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,121,46,33
Class 1,CM,15,157,28
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,118,32,50
Class 1,CM,23,145,32
Class 2,CM,0,1,199

