,Matrix,Class 0,Class 1,Class 2
Class 0,CM,195,2,3
Class 1,CM,87,101,12
Class 2,CM,84,3,113

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,197,1,2
Class 1,CM,107,90,3
Class 2,CM,94,2,104

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,81,110,9
Class 2,CM,101,6,93

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,194,2,4
Class 1,CM,86,89,25
Class 2,CM,94,5,101

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,1,1
Class 1,CM,100,99,1
Class 2,CM,121,4,75

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,197,1,2
Class 1,CM,101,97,2
Class 2,CM,104,15,81

