,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,76,122,2
Class 2,CM,120,5,75

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,53,141,6
Class 2,CM,129,11,60

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,1,1
Class 1,CM,82,111,7
Class 2,CM,87,4,109

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,79,116,5
Class 2,CM,129,0,71

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,0,1
Class 1,CM,82,115,3
Class 2,CM,103,4,93

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,92,93,15
Class 2,CM,73,3,124

