,Matrix,Class 0,Class 1,Class 2
Class 0,CM,72,106,22
Class 1,CM,1,198,1
Class 2,CM,5,98,97

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,71,120,9
Class 1,CM,0,197,3
Class 2,CM,12,116,72

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,70,116,14
Class 1,CM,1,198,1
Class 2,CM,2,133,65

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,56,129,15
Class 1,CM,2,196,2
Class 2,CM,6,104,90

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,64,108,28
Class 1,CM,0,194,6
Class 2,CM,3,77,120

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,72,118,10
Class 1,CM,0,198,2
Class 2,CM,1,109,90

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,69,124,7
Class 1,CM,1,197,2
Class 2,CM,7,111,82

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,75,114,11
Class 1,CM,1,197,2
Class 2,CM,12,122,66

