,Matrix,Class 0,Class 1,Class 2
Class 0,CM,89,100,11
Class 1,CM,1,198,1
Class 2,CM,5,97,98

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,86,91,23
Class 1,CM,1,193,6
Class 2,CM,4,65,131

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,89,104,7
Class 1,CM,0,198,2
Class 2,CM,2,78,120

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,108,74,18
Class 1,CM,1,199,0
Class 2,CM,9,71,120

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,87,110,3
Class 1,CM,1,198,1
Class 2,CM,7,104,89

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,150,43,7
Class 1,CM,4,195,1
Class 2,CM,25,75,100

