,Matrix,Class 0,Class 1,Class 2
Class 0,CM,154,29,17
Class 1,CM,10,171,19
Class 2,CM,19,25,156

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,141,37,22
Class 1,CM,13,171,16
Class 2,CM,15,24,161

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,140,39,21
Class 1,CM,8,186,6
Class 2,CM,6,31,163

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,148,38,14
Class 1,CM,14,176,10
Class 2,CM,24,30,146

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,147,40,13
Class 1,CM,13,166,21
Class 2,CM,17,34,149

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,154,29,17
Class 1,CM,14,179,7
Class 2,CM,15,21,164

