,Matrix,Class 0,Class 1,Class 2
Class 0,CM,134,53,13
Class 1,CM,1,194,5
Class 2,CM,9,47,144

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,147,34,19
Class 1,CM,3,194,3
Class 2,CM,13,21,166

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,152,34,14
Class 1,CM,2,191,7
Class 2,CM,9,25,166

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,169,21,10
Class 1,CM,4,191,5
Class 2,CM,17,23,160

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,148,32,20
Class 1,CM,4,193,3
Class 2,CM,8,35,157

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,151,32,17
Class 1,CM,4,187,9
Class 2,CM,13,23,164

