,Matrix,Class 0,Class 1,Class 2
Class 0,CM,71,3,126
Class 1,CM,21,85,94
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,74,6,120
Class 1,CM,16,89,95
Class 2,CM,2,0,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,60,20,120
Class 1,CM,3,113,84
Class 2,CM,2,2,196

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,52,1,147
Class 1,CM,4,84,112
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,69,9,122
Class 1,CM,11,101,88
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,38,4,158
Class 1,CM,5,101,94
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,64,7,129
Class 1,CM,8,84,108
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,84,2,114
Class 1,CM,8,102,90
Class 2,CM,2,0,198

