,Matrix,Class 0,Class 1,Class 2
Class 0,CM,103,3,94
Class 1,CM,12,129,59
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,79,2,119
Class 1,CM,3,124,73
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,122,8,70
Class 1,CM,8,133,59
Class 2,CM,2,0,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,107,9,84
Class 1,CM,13,125,62
Class 2,CM,2,0,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,71,5,124
Class 1,CM,8,110,82
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,111,8,81
Class 1,CM,13,127,60
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,82,8,110
Class 1,CM,5,134,61
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,66,6,128
Class 1,CM,2,155,43
Class 2,CM,0,0,200

