,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,1,1
Class 1,CM,176,22,2
Class 2,CM,27,2,171

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,189,9,2
Class 2,CM,35,0,165

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,163,34,3
Class 2,CM,26,2,172

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,1,1
Class 1,CM,183,17,0
Class 2,CM,39,1,160

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,192,6,2
Class 2,CM,27,0,173

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,185,15,0
Class 2,CM,36,1,163

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,182,18,0
Class 2,CM,24,2,174

