,Matrix,Class 0,Class 1,Class 2
Class 0,CM,197,3,0
Class 1,CM,137,61,2
Class 2,CM,14,1,185

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,146,52,2
Class 2,CM,9,0,191

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,113,80,7
Class 2,CM,18,0,182

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,131,68,1
Class 2,CM,21,2,177

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,4,0
Class 1,CM,136,63,1
Class 2,CM,9,1,190

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,145,52,3
Class 2,CM,14,0,186

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,3,1
Class 1,CM,142,57,1
Class 2,CM,11,0,189

