,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,3,1
Class 1,CM,102,97,1
Class 2,CM,8,3,189

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,186,11,3
Class 1,CM,118,77,5
Class 2,CM,15,7,178

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,0,1
Class 1,CM,122,75,3
Class 2,CM,12,0,188

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,192,6,2
Class 1,CM,73,125,2
Class 2,CM,12,5,183

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,198,2,0
Class 1,CM,95,100,5
Class 2,CM,21,3,176

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,194,3,3
Class 1,CM,129,71,0
Class 2,CM,13,5,182

