,Matrix,Class 0,Class 1,Class 2
Class 0,CM,68,126,6
Class 1,CM,3,196,1
Class 2,CM,1,24,175

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,100,98,2
Class 1,CM,1,199,0
Class 2,CM,2,19,179

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,65,134,1
Class 1,CM,0,199,1
Class 2,CM,4,30,166

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,57,139,4
Class 1,CM,0,198,2
Class 2,CM,2,31,167

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,53,143,4
Class 1,CM,1,199,0
Class 2,CM,3,22,175

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,65,131,4
Class 1,CM,2,197,1
Class 2,CM,1,24,175

