,Matrix,Class 0,Class 1,Class 2
Class 0,CM,73,119,8
Class 1,CM,1,199,0
Class 2,CM,1,3,196

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,66,129,5
Class 1,CM,1,199,0
Class 2,CM,0,9,191

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,83,110,7
Class 1,CM,1,199,0
Class 2,CM,2,12,186

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,97,99,4
Class 1,CM,1,199,0
Class 2,CM,0,5,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,76,120,4
Class 1,CM,3,197,0
Class 2,CM,1,5,194

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,92,103,5
Class 1,CM,0,200,0
Class 2,CM,4,7,189

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,84,116,0
Class 1,CM,0,200,0
Class 2,CM,2,15,183

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,86,107,7
Class 1,CM,0,200,0
Class 2,CM,1,7,192

