,Matrix,Class 0,Class 1,Class 2
Class 0,CM,129,37,34
Class 1,CM,38,143,19
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,138,25,37
Class 1,CM,48,134,18
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,130,30,40
Class 1,CM,32,148,20
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,133,27,40
Class 1,CM,46,143,11
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,117,36,47
Class 1,CM,42,149,9
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,128,36,36
Class 1,CM,29,143,28
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,111,45,44
Class 1,CM,23,158,19
Class 2,CM,0,1,199

