,Matrix,Class 0,Class 1,Class 2
Class 0,CM,128,47,25
Class 1,CM,14,177,9
Class 2,CM,1,1,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,134,39,27
Class 1,CM,40,139,21
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,139,39,22
Class 1,CM,33,159,8
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,122,26,52
Class 1,CM,26,134,40
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,120,60,20
Class 1,CM,15,169,16
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,139,25,36
Class 1,CM,26,154,20
Class 2,CM,0,1,199

