,Matrix,Class 0,Class 1,Class 2
Class 0,CM,168,25,7
Class 1,CM,29,166,5
Class 2,CM,2,1,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,155,39,6
Class 1,CM,14,177,9
Class 2,CM,0,2,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,166,27,7
Class 1,CM,33,162,5
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,159,33,8
Class 1,CM,24,173,3
Class 2,CM,1,2,197

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,154,37,9
Class 1,CM,21,172,7
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,171,23,6
Class 1,CM,36,160,4
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,156,34,10
Class 1,CM,25,170,5
Class 2,CM,2,0,198

