,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,200,0
Class 1,CM,0,200,0
Class 2,CM,0,200,0

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,25,173,2
Class 1,CM,1,198,1
Class 2,CM,18,103,79

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,200,0
Class 1,CM,0,200,0
Class 2,CM,0,200,0

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,131,34,35
Class 1,CM,69,115,16
Class 2,CM,151,6,43

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,36,158,6
Class 1,CM,0,199,1
Class 2,CM,6,110,84

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,45,148,7
Class 1,CM,0,197,3
Class 2,CM,7,96,97

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,134,66
Class 1,CM,0,172,28
Class 2,CM,0,52,148

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,0,200,0
Class 1,CM,0,200,0
Class 2,CM,0,200,0

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,38,152,10
Class 1,CM,0,197,3
Class 2,CM,21,88,91

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,8,190,2
Class 1,CM,0,200,0
Class 2,CM,0,116,84

