,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,184,16,0
Class 2,CM,23,0,177

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,194,6,0
Class 1,CM,106,93,1
Class 2,CM,14,0,186

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,162,38,0
Class 2,CM,16,0,184

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,199,1,0
Class 1,CM,144,50,6
Class 2,CM,12,0,188

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,200,0,0
Class 1,CM,191,7,2
Class 2,CM,9,0,191

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,194,6,0
Class 1,CM,139,61,0
Class 2,CM,27,0,173

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,196,4,0
Class 1,CM,141,56,3
Class 2,CM,15,0,185

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,197,3,0
Class 1,CM,156,44,0
Class 2,CM,15,0,185

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,192,7,1
Class 1,CM,94,105,1
Class 2,CM,23,0,177

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,194,6,0
Class 1,CM,134,60,6
Class 2,CM,18,0,182

