,Matrix,Class 0,Class 1,Class 2
Class 0,CM,146,34,20
Class 1,CM,20,166,14
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,148,26,26
Class 1,CM,21,151,28
Class 2,CM,1,0,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,122,57,21
Class 1,CM,8,167,25
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,142,46,12
Class 1,CM,21,167,12
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,140,49,11
Class 1,CM,20,170,10
Class 2,CM,0,2,198

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,133,44,23
Class 1,CM,17,160,23
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,151,32,17
Class 1,CM,26,164,10
Class 2,CM,0,1,199

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,139,41,20
Class 1,CM,33,158,9
Class 2,CM,3,2,195

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,145,38,17
Class 1,CM,21,162,17
Class 2,CM,0,0,200

,Matrix,Class 0,Class 1,Class 2
Class 0,CM,137,51,12
Class 1,CM,18,165,17
Class 2,CM,0,1,199

